MACKINSKY	mxk3 kin0 sq1 kii2
MACKINTIRE	mxk3 kin0 thaaj0 rqq2
MACKINTOSH	mxk3 kin0 th@ch3
MACKINTOSHES	mxk3 kin0 th@ch3 ches1
MACKINTYRE	mxk3 kin0 thaaj0 rqq2
MACKNIGHT	mxk3 naj3
MACKS		mxk3
MACKSBURG	mxk3 sa1 bqqk1
MACKSON	mxk3 san2
MACKSTON	mxk3 sa1 tan2
MACLAIN	mxk3 leen0
MACLAINE	mxk3 leen0
MACLAINES	mxk3 leen0
MACLANE	mxk3 leen0
MACLASKEY	mxk3 lxs3 kii2
MACLAUREN	mxk3 l@@0 ren0
MACLAY		mxk3 lee2
MACLAYS	mxk3 lee2
MACLEAN	mxk3 liin0
MACLEANS	mxk3 liin0
MACLENNON	mxk3 leen0 n@n2
MACMARTIN	mxk3 maa0 tin0
MACMASTER	mxk3 maas3 tqq2
MACMASTERS	mxk3 maas3 tqq2
MACMICHAEL	mxk3 maj0 khql2
MACMILLAN	mxk3 mil0 lxn2
MACMILLANS	mxk3 mil0 lxn2
MACMILLIAN	mxk3 mil0 liian2
MACMILLIN	mxk3 mil0 lin2
MACMINIMUM	mxk3 mi3 ni1 mam2
MACNAB	mxk3 nxxp3
MACNAIRN	mxk3 nxx0
MACNAUGHT	mxk3 n@@t3
MACNEE		mxk3 nee0
MACNEIL	mxk3 niil0
MACNEILS	mxk3 niil0
MACNELLY	mxk3 neel0 lii2
MACNETT	mxk3 net1
MACNEW	mxk3 niw0
MACNEWS	mxk3 niw0
MACQUEEN	mxk3 khwiin0
MACQUILLAN	mxk3 khwil0 lxxn2
MACQUILLANS	mxk3 khwil0 lxxn2
MACROBE	mxk3 r@@p3
MACROBES	mxk3 r@@p3
MACROBIAN	mxk3 khroo0 biian2
MACROBIOTIC	mxk3 khroo0 baj0 oo0 tik1
MACROBIOTICS	mxk3 khroo0 baj0 oo0 tik1
MACROCEPHALIC	mxk3 khroo0 cee0 fxxl0 lik1
MACROCEPHALOUS	mxk3 khroo0 cee0 fq1 liias2
MACROCHEMICAL	mxk3 khroo0 khee0 mi3 khal2
MACROCHEMICALLY	mxk3 khroo0 khee0 mi3 khq1 lii2
MACROCHEMISTRY	mxk3 khroo0 khee0 mis3 trii2
MACROCLIMATIC	mxk3 khroo0 klaj0 mxx0 thik1
MACROCOMPUTER	mxk3 khroo0 kh@m0 phiw3 thqq2
MACROCOSM	mxk3 khroo0 kh@s3 svm2
MACROCOSMIC	mxk3 khroo0 kh@s3 mik1
MACROCOSMICAL	mxk3 khroo0 kh@s3 mi1 kh@l2
MACROCOSMICALLY	mxk3 khroo0 kh@s3 mi1 khq1 lii2
MACROCOSMOLOGY	mxk3 khroo0 kh@s3 m@@0 lq1 cii2
MACROCOSMOS	mxk3 khroo0 kh@s3 m@s3
MACROCOSMS	mxk3 khroo0 kh@s3 svm2
MACRODOME	mxk3 khroo0 doom0
MACRODYNAMIC	mxk3 khroo0 daj0 nxx3 mik1
MACRODYNE	mxk3 khroo0 daaj0
MACROMAN	mxk3 khroo0 mxxn0
MACROMANAGEMENT	mxk3 khroo0 mxx0 neec1 men3
MACROMANIA	mxk3 khroo0 maa0 niia1
MACROMEDIA	mxk3 khroo0 mii0 diia1
MACROMERIC	mxk3 khroo0 mee0 rik1
MACRON	mxk3 khr@n2
MACRONS	mxk3 khr@n2
MACROSCOPIC	mxk3 khroo0 sa1 khoo0 pik1
MACROSCOPICAL	mxk3 khroo0 sa1 khoo0 pi3 kh@l2
MACROSCOPICALLY	mxk3 khroo0 sa1 khoo0 pi3 khq1 lii2
MACROW	mxk3 roo0
MACROWS	mxk3 roo0
MACS	mxk3
MACSHARRY	mxk3 sa1 hxx0 rii2
MACTAGGART	mxk3 thxk3 kaat1
MACTAN	mxk3 thxxn0
MACTAVISH	mxk3 thxx0 wich3
MACULA		mxk3 khiw0 laa2
MACULAE	mxk3 khiw0 lxx0
MACULAR	mxk3 khiw0 laa2
MACULARIS	mxk3 khiw0 lxx0 ris3
MACULAS	mxk3 khiw0 laa2
MACULATE	mxk3 khiw0 leet1
MACULATED	mxk3 khiw0 leet3 thet1
MACULATES	mxk3 khiw0 leet1
MACULATING	mxk3 khiw0 leet3 ting2
MACULATION	mxk3 khiw0 lee0 chan2
MACULATIONS	mxk3 khiw0 lee0 chan2
MACULATUM	mxk3 khiw0 lee0 tham2
MACULATUS	mxk3 khiw0 lee0 thas3
MACULOSE	mxk3 khiw0 loos3
MACUMBA	mxk3 kham0 baa2
MACUMBER	mxk3 kham0 bqq2
MACVICAR	mxk3 wi3 kaa2
MACWILLIAM	mxk3 wil0 liiam2
MACWILLIAMS	mxk3 wil0 liiam2
MACWORLD	mxk3 wqql2
MAD	mxxt3
MADALEEN	mxxt3 dq1 liin0
MADALENA	mxxt3 dq1 lii0 naa2
MADALENE	mxxt3 dq1 liin0
MADALINE	mxxt3 dq1 laaj0
MADAM		mxx0 dam2
MADAME	mxx0 dam2
MADAMES	mxx0 dam2
MADAMS	mxx0 dam2
MADCAP		mxxt3 khxp3
MADCAPS	mxxt3 khxp3
MADCAT	mxxt3 khxt1
MADDEN		mxxt3 den2
MADDENED	mxxt3 den2
MADDENING	mxxt3 den0 ning2
MADDENINGLY	mxxt3 den0 ning2 lii2
MADDENS	mxxt3 den2
MADDER		mxxt3 dqq2
MADDERA	mxxt3 diia0 raa2
MADDERS	mxxt3 dqq2
MADDERWORT	mxxt3 dqq2 wqqt1
MADDESS	mxxt3 des1
MADDEST	mxxt3 des2
MADDIE		mxxt3 daaj0
MADDIES	mxxt3 daaj0
MADDING	mxxt3 ding2
MADDINGLY	mxxt3 ding2 lii2
MADDINGTON	mxxt3 ding0 tan2
MADDISH	mxxt3 dich1
MADDOCK	mxxt3 d@k3
MADDOCKS	mxxt3 d@k3
MADDON	mxxt3 d@n2
MADDUX	mxxt3 dak3
MADDY		mxxt3 dii2
MADE	meet3
MADEIRA	mee0 diia0 raa2
MADEIRAS	mee0 diia0 raa2
MADEL		mxx0 del2
MADELAINE	meet3 dq1 leen0
MADELEINE	meet3 dq1 liin0
MADELEINES	meet3 dq1 liin0
MADELINE	meet3 dq1 laaj0
MADELLIN	mee0 del0 liin0
MADEMOISELLE	mxxt3 muua0 seel0
MADEMOISELLES	mxxt3 muua0 seel0
MADEN	mee0 den2
MADER	mxxt3 dqq2
MADERA	mxx0 diia0 raa2
MADERAS	mxx0 diia0 raa2
MADERE	mxx0 dxx0
MADERER	mxx0 dxx0 rqq2
MADEROVA	mxx0 dee0 r@1 waa2
MADESON	meet3 san2
MADEST	mxx0 des2
MADEWELL	meet3 weel0
MADGE	mxc3
MADHOUSE	mxxt3 haaw3
MADHOUSES	mxxt3 haaw3 ses1
MADILL	mxx0 dil2
MADING	mxx0 ding2
MADINGER	mxxt3 ding0 ngqq2
MADINGLEY	mxxt3 ding0 lee2
MADINGO	mxxt3 ding0 koo2
MADLEN	mxxt3 leen0
MADLEY	mxxt3 lii2
MADLIN	mxxt3 lin2
MADLING	mxxt3 ling2
MADLOCK	mxxt3 l@k3
MADLY	mxxt3 lii2
MADMAN	mxxt3 mxxn0
MADMANS	mxxt3 mxxn0
MADMEN	mxxt3 mxxn0
MADNESS	mxxt3 nees1
MADNESSES	mxxt3 nees3 ses1
MADOFF	mxx0 d@@f3
MADOG	mxx0 d@k3
MADOGS	mxx0 d@k3
MADONE	mxx0 doo0 nee2
MADONNA	maa0 d@n0 naa2
MADONNAS	maa0 d@n0 naa2
MADORE	mxx0 d@@0
MADRAN	mxx0 drxxn0
MADRAS		mq1 draas3
MADRASES	mq1 draas3 ses1
MADREPORE	mxx0 dri3 ph@@0
MADRES	mxxt3 drees3
MADRICK	mxxt3 drik1
MADRID	mxxt3 drit1
MADRIG	mxxt3 drik1
MADRIGAL	mxxt3 dri3 k@l2
MADRIGALE	mxxt3 dri3 kq1 keel0
MADRIGALER	mxxt3 dri3 keel0 lqq2
MADRIGALES	mxxt3 dri3 keel2
MADRIGALING	mxxt3 dri3 keel0 ling2
MADRIGALIS	mxxt3 dri3 keel0 lis3
MADRIGALISMS	mxxt3 dri3 keel0 lis3 svm2
