SAGITTARIA	sxx0 cit3 thxx0 riia0
SAGITTARIAN	sxx0 cit3 thxx0 riian2
SAGITTARIANS	sxx0 cit3 thxx0 riian2
SAGITTARIO	sxx0 cit3 thxx0 rii0 oo2
SAGITTARIUS	sxx0 cit3 thxx0 riias2
SAGITTARIUSES	sxx0 cit3 thxx0 riias3 ses1
SAGO	see0 koo2
SAGONE	sxk3 wan0
SAGOS	see0 khoos2
SAGRADA	sxx0 kraa0 daa2
SAGRAVES	sxx0 kreef3
SAGS	sxk3
SAHIB	saa0 hip3
SAHIBS	saa0 hip3
SAID	seet2
SAIGON	saaj2 ng@n2
SAIL	seel0
SAILABLE	seel0 lee0 bql2
SAILBAG	seel0 bxk3
SAILBAGS	seel0 bxk3
SAILBOARD	seel0 b@@t1
SAILBOARDERS	seel0 b@@t3 dqq2
SAILBOARDING	seel0 b@@t3 ding2
SAILBOARDS	seel0 b@@t1
SAILBOAT	seel0 boot3
SAILBOATER	seel0 boot3 tqq2
SAILBOATERS	seel0 boot3 tqq2
SAILBOATING	seel0 boot3 ting2
SAILBOATS	seel0 boot3
SAILCLOTH	seel0 khloot3
SAILED	seel0
SAILER	seel0 lqq2
SAILERS	seel0 lqq2
SAILES	seel0
SAILFIN	seel0 fin0
SAILFINS	seel0 fin0
SAILFISH	seel0 fich3
SAILFISHES	seel0 fich3 ches1
SAILING	seel0 ling2
SAILINGLY	seel0 ling2 lii2
SAILINGS	seel0 ling2
SAILLARD	seel0 laat1
SAILOR	seel0 lqq2
SAILOR	seel0 lqq2
SAILORING	seel0 lqq2 ring2
SAILORISING	seel0 lqq2 raj3 sing2
SAILORISINGS	seel0 lqq2 raj3 sing2
SAILORMAN	seel0 lqq2 mxxn0
SAILORMEN	seel0 lqq2 men0
SAILORS	seel0 lqq2
SAILPLANE	seel0 phleen0
SAILPLANER	seel0 phleen0 nqq2
SAILPLANES	seel0 phleen0
SAILS	seel0
SAINFOIN	sxxn0 f@@j0
SAINT	sen3
SAINTED	sen3 thet1
SAINTEN	sen3 then2
SAINTES	sen3
SAINTESS	sen3 thes1
SAINTHOOD	sen3 huut3
SAINTING	sen3 ting2
SAINTISH	sen3 thich1
SAINTISM	sen3 this3 svm2
SAINTLESS	sen3 les1
SAINTLIER	sen3 li1 qq2
SAINTLIEST	sen3 li1 es1
SAINTLIKE	sen3 laj3
SAINTLINESS	sen3 li1 nees1
SAINTLING	sen3 ling2
SAINTLY	sen3 lii2
SAINTON	sen3 tan2
